Subplot,Replicate,Severity,Year,mean_LMA
A01E,A,85,2018,24.29485479
A01W,A,85,2018,26.33925252
A02E,A,45,2018,26.97417724
A02W,A,45,2018,29.10437487
A03E,A,65,2018,27.28071868
A03W,A,65,2018,26.94204189
A04E,A,0,2018,25.86323512
A04W,A,0,2018,23.93104511
B01E,B,0,2018,30.41196756
B01W,B,0,2018,26.79758973
B02E,B,45,2018,27.42902401
B02W,B,45,2018,27.73978957
B03E,B,85,2018,29.52781916
B03W,B,85,2018,30.17241742
B04E,B,65,2018,34.09468072
B04W,B,65,2018,31.95643893
C01E,C,0,2018,50.62200074
C01W,C,0,2018,49.83228934
C02E,C,65,2018,43.73531811
C02W,C,65,2018,35.24156341
C03E,C,85,2018,35.66629467
C03W,C,85,2018,26.21962675
C04E,C,45,2018,38.07902347
C04W,C,45,2018,84.70386006
D01E,D,0,2018,47.70468127
D01W,D,0,2018,78.01358298
D02E,D,85,2018,51.07448362
D02W,D,85,2018,49.55736595
D03E,D,45,2018,38.25602944
D03W,D,45,2018,54.59624217
D04E,D,65,2018,76.02465342
D04W,D,65,2018,91.51835694
A01E,A,85,2019,26.11389395
A01W,A,85,2019,27.35844145
A02E,A,45,2019,23.82571093
A02W,A,45,2019,25.97517326
A03E,A,65,2019,28.63072787
A03W,A,65,2019,26.6208298
A04E,A,0,2019,24.62398065
A04W,A,0,2019,24.10863502
B01E,B,0,2019,29.2094303
B01W,B,0,2019,27.37473949
B02E,B,45,2019,32.19123166
B02W,B,45,2019,30.19587319
B03E,B,85,2019,30.26432694
B03W,B,85,2019,30.99705302
B04E,B,65,2019,32.49414314
B04W,B,65,2019,32.28926342
C01E,C,0,2019,81.31456963
C01W,C,0,2019,42.21687702
C02E,C,65,2019,71.37758642
C02W,C,65,2019,40.08342766
C03E,C,85,2019,35.03786606
C03W,C,85,2019,32.80448263
C04E,C,45,2019,46.55111399
C04W,C,45,2019,49.64849866
D01E,D,0,2019,57.19967206
D01W,D,0,2019,99.7809641
D02E,D,85,2019,72.61930805
D02W,D,85,2019,73.27180359
D03E,D,45,2019,47.67907696
D03W,D,45,2019,50.65994265
D04E,D,65,2019,122.6835094
D04W,D,65,2019,266.0792116
A01E,A,85,2020,25.4735096
A01W,A,85,2020,27.41905465
A02E,A,45,2020,20.91526794
A02W,A,45,2020,27.30910947
A03E,A,65,2020,30.17713319
A03W,A,65,2020,24.94409835
A04E,A,0,2020,22.39928366
A04W,A,0,2020,22.9505646
B01E,B,0,2020,25.68069661
B01W,B,0,2020,25.09540502
B02E,B,45,2020,26.29419359
B02W,B,45,2020,30.26423341
B03E,B,85,2020,30.53851093
B03W,B,85,2020,28.81537461
B04E,B,65,2020,28.80012131
B04W,B,65,2020,36.16209069
C01E,C,0,2020,56.72138599
C01W,C,0,2020,41.3780826
C02E,C,65,2020,736.0892197
C02W,C,65,2020,75.01296221
C03E,C,85,2020,38.14688306
C03W,C,85,2020,32.02553473
C04E,C,45,2020,41.31126128
C04W,C,45,2020,101.3376348
D01E,D,0,2020,60.95720492
D01W,D,0,2020,118.8211542
D02E,D,85,2020,77.56510685
D02W,D,85,2020,93.5083891
D03E,D,45,2020,45.585611
D03W,D,45,2020,58.43182982
D04E,D,65,2020,474.5024028
D04W,D,65,2020,105.7534781
