"Subplot","mean_Asat_2018","sd_Asat_2018"
"A01E",2.11641666666667,0.955138586644352
"A01W",4.10733333333333,1.26746399147943
"A02E",2.37578333333333,1.56428129871681
"A02W",3.79636363636364,0.941251430036339
"A03E",2.88716666666667,1.10175478490479
"A03W",2.60866666666667,1.0359930969701
"A04E",3.01735,1.31922607374034
"A04W",2.5842,0.965938925229089
"B01E",4.51366666666667,1.15976450065076
"B01W",3.93933333333333,0.865460921163172
"B02E",3.86058333333333,0.910186640034323
"B02W",3.96033333333333,1.07073902544274
"B03E",4.73666666666667,1.45367605077819
"B03W",4.521,1.15043185567223
"B04E",3.0815,1.59123328385135
"B04W",2.44428333333333,1.28079944483076
"C01E",1.99890039283333,0.998416582774715
"C01W",2.24284659366667,2.54930916088133
"C02E",0.918430176230769,0.654178830601451
"C02W",2.51708938366667,1.76729323581304
"C03E",3.341142813,1.94314975938046
"C03W",2.05706666666667,1.02548829463053
"C04E",3.04960873172727,0.922157637071165
"C04W",2.94351858476923,1.38469944872601
"D01E",4.16900075815385,2.10231600551316
"D01W",5.106841096,1.05606667251887
"D02E",2.131456264,1.35651491682463
"D02W",3.86750130716667,1.2200852497444
"D03E",3.95797491514286,2.35833691165134
"D03W",3.63890639641176,3.11835415857571
"D04E",2.17348676478571,1.38589050386871
"D04W",1.88088281615385,2.73739547700561
